python main.py example-model exampleSame.words --train --epochs 100 --num_labels 3 --width 1

Random seed: 42
-----------------------------------------------------------------------------------------
[DATA]
   data:          exampleSame.words
   # word types:  5
   # char types:  11
   # words:       34
   # tag types:   3
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   dim:           200
   batch_size:    80
   lr:            0.002
   epochs:        100

| epoch   1 | loss   0.08 |  -0.12 bits | acc  76.47 | vm  75.38 | time 0:00:00   
| epoch   2 | loss   0.03 |  -0.04 bits | acc  76.47 | vm  75.38 | time 0:00:00   
| epoch   3 | loss  -0.02 |   0.03 bits | acc  76.47 | vm  75.38 | time 0:00:00   
| epoch   4 | loss  -0.14 |   0.20 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch   5 | loss  -0.26 |   0.37 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch   6 | loss  -0.37 |   0.53 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch   7 | loss  -0.48 |   0.69 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch   8 | loss  -0.59 |   0.86 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch   9 | loss  -0.70 |   1.01 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  10 | loss  -0.79 |   1.14 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  11 | loss  -0.87 |   1.25 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  12 | loss  -0.93 |   1.34 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  13 | loss  -0.97 |   1.40 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  14 | loss  -1.00 |   1.44 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  15 | loss  -1.02 |   1.47 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  16 | loss  -1.03 |   1.49 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  17 | loss  -1.04 |   1.51 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  18 | loss  -1.05 |   1.52 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  19 | loss  -1.06 |   1.52 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  20 | loss  -1.06 |   1.53 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  21 | loss  -1.06 |   1.53 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  22 | loss  -1.06 |   1.53 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  23 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  24 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  25 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  26 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  27 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  28 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
| epoch  29 | loss  -1.07 |   1.54 bits | acc 100.00 | vm 100.00 | time 0:00:00   
