python main.py ./simulatedPlanets/example-sim-model_Rp_Teff ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt --num_planet_features 1 --num_stellar_features 1 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 5 --dropout_prob 0. --train

Random seed: 5
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt
   # planets:     37734
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch   1 | loss -0.000000009461 | 0.000000013649 bits | time 0:00:01   
| epoch   2 | loss -0.000000005046 | 0.000000007280 bits | time 0:00:00   
| epoch   3 | loss 0.000000000946 | -0.000000001365 bits | time 0:00:01   
| epoch   4 | loss -0.000000136555 | 0.000000197007 bits | time 0:00:01   
| epoch   5 | loss -0.038106359502 | 0.054975855880 bits | time 0:00:00   
| epoch   6 | loss -0.156526091238 | 0.225819415598 bits | time 0:00:00   
| epoch   7 | loss -0.184833531973 | 0.266658419967 bits | time 0:00:01   
| epoch   8 | loss -0.197585289914 | 0.285055317911 bits | time 0:00:01   
| epoch   9 | loss -0.204890137627 | 0.295593985482 bits | time 0:00:01   
| epoch  10 | loss -0.210582094533 | 0.303805743483 bits | time 0:00:01   
| epoch  11 | loss -0.214280123275 | 0.309140871211 bits | time 0:00:01   
| epoch  12 | loss -0.217839138533 | 0.314275444873 bits | time 0:00:01   
| epoch  13 | loss -0.220952873665 | 0.318767615107 bits | time 0:00:01   
| epoch  14 | loss -0.223706259141 | 0.322739910678 bits | time 0:00:01   
| epoch  15 | loss -0.226216555903 | 0.326361503369 bits | time 0:00:01   
| epoch  16 | loss -0.228325089923 | 0.329403474942 bits | time 0:00:01   
| epoch  17 | loss -0.230430211813 | 0.332440523853 bits | time 0:00:01   
| epoch  18 | loss -0.232454372146 | 0.335360769928 bits | time 0:00:01   
| epoch  19 | loss -0.234628929032 | 0.338497992364 bits | time 0:00:01   
| epoch  20 | loss -0.236601914836 | 0.341344409199 bits | time 0:00:01   
| epoch  21 | loss -0.238875877763 | 0.344625044236 bits | time 0:00:01   
| epoch  22 | loss -0.239838933188 | 0.346014439522 bits | time 0:00:01   
| epoch  23 | loss -0.241567807380 | 0.348508677746 bits | time 0:00:01   
| epoch  24 | loss -0.243281162290 | 0.350980526377 bits | time 0:00:01   
| epoch  25 | loss -0.244297686708 | 0.352447061114 bits | time 0:00:01   
| epoch  26 | loss -0.245859499646 | 0.354700280895 bits | time 0:00:01   
| epoch  27 | loss -0.247535948873 | 0.357118885881 bits | time 0:00:00   
| epoch  28 | loss -0.248276202767 | 0.358186846503 bits | time 0:00:00   
| epoch  29 | loss -0.249367522184 | 0.359761287614 bits | time 0:00:00   
| epoch  30 | loss -0.249824589680 | 0.360420696624 bits | time 0:00:01   
| epoch  31 | loss -0.251148613515 | 0.362330859244 bits | time 0:00:01   
| epoch  32 | loss -0.251983482686 | 0.363535320857 bits | time 0:00:00   
| epoch  33 | loss -0.252841738481 | 0.364773522237 bits | time 0:00:00   
| epoch  34 | loss -0.253325198220 | 0.365471007204 bits | time 0:00:00   
| epoch  35 | loss -0.253694402793 | 0.366003656811 bits | time 0:00:00   
| epoch  36 | loss -0.254996647910 | 0.367882399384 bits | time 0:00:01   
| epoch  37 | loss -0.255392350532 | 0.368453277594 bits | time 0:00:00   
| epoch  38 | loss -0.256076484919 | 0.369440274880 bits | time 0:00:00   
| epoch  39 | loss -0.256896407989 | 0.370623173828 bits | time 0:00:00   
| epoch  40 | loss -0.257294313933 | 0.371197230760 bits | time 0:00:00   
| epoch  41 | loss -0.257831072208 | 0.371971609262 bits | time 0:00:00   
| epoch  42 | loss -0.258063845534 | 0.372307430184 bits | time 0:00:00   
| epoch  43 | loss -0.258184682755 | 0.372481761444 bits | time 0:00:00   
| epoch  44 | loss -0.258886288714 | 0.373493964881 bits | time 0:00:00   
| epoch  45 | loss -0.259176329646 | 0.373912405495 bits | time 0:00:01   
| epoch  46 | loss -0.259216705012 | 0.373970654836 bits | time 0:00:01   
| epoch  47 | loss -0.259264583468 | 0.374039728847 bits | time 0:00:00   
| epoch  48 | loss -0.259442247726 | 0.374296044192 bits | time 0:00:00   
| epoch  49 | loss -0.259897978533 | 0.374953524766 bits | time 0:00:00   
| epoch  50 | loss -0.260238389016 | 0.375444633283 bits | time 0:00:00   
| epoch  51 | loss -0.260159678245 | 0.375331077643 bits | time 0:00:00   
| epoch  52 | loss -0.260568541194 | 0.375920942192 bits | time 0:00:00   
| epoch  53 | loss -0.260658923280 | 0.376051335980 bits | time 0:00:01   
| epoch  54 | loss -0.261059708854 | 0.376629547339 bits | time 0:00:01   
| epoch  55 | loss -0.261321669691 | 0.377007476940 bits | time 0:00:01   
| epoch  56 | loss -0.261272711256 | 0.376936844848 bits | time 0:00:01   
| epoch  57 | loss -0.261579560540 | 0.377379534789 bits | time 0:00:00   
| epoch  58 | loss -0.261799188360 | 0.377696390756 bits | time 0:00:00   
| epoch  59 | loss -0.261898420160 | 0.377839551981 bits | time 0:00:00   
| epoch  60 | loss -0.262431911217 | 0.378609216884 bits | time 0:00:00   
| epoch  61 | loss -0.261742048478 | 0.377613955331 bits | time 0:00:01   
| epoch  62 | loss -0.262268706131 | 0.378373761716 bits | time 0:00:01   
| epoch  63 | loss -0.262401554004 | 0.378565420683 bits | time 0:00:01   
| epoch  64 | loss -0.262153592532 | 0.378207687898 bits | time 0:00:01   
| epoch  65 | loss -0.262598126338 | 0.378849014615 bits | time 0:00:01   
| epoch  66 | loss -0.262113193040 | 0.378149403751 bits | time 0:00:01   
| epoch  67 | loss -0.262104556516 | 0.378136943881 bits | time 0:00:01   
| epoch  68 | loss -0.262474606435 | 0.378670813062 bits | time 0:00:01   
| epoch  69 | loss -0.262751810607 | 0.379070734148 bits | time 0:00:01   
| epoch  70 | loss -0.262670891310 | 0.378953992279 bits | time 0:00:01   
| epoch  71 | loss -0.262753510759 | 0.379073186948 bits | time 0:00:00   
