python main.py ./simulatedPlanets/example-sim-model_Rp_uniformP_2 ./simulatedPlanets/fake_grammaticalSystems_Rp_uniformP.txt --num_planet_features 2 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 1 --dropout_prob 0.15 --train

Random seed: 1
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_uniformP.txt
   # planets:     37932
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch   1 | loss 0.000000000941 | -0.000000001358 bits | time 0:00:01   
| epoch   2 | loss -0.000000000627 | 0.000000000905 bits | time 0:00:01   
| epoch   3 | loss -0.000000001882 | 0.000000002716 bits | time 0:00:01   
| epoch   4 | loss -0.000000002823 | 0.000000004073 bits | time 0:00:01   
| epoch   5 | loss -0.000000000314 | 0.000000000453 bits | time 0:00:01   
| epoch   6 | loss -0.000000000941 | 0.000000001358 bits | time 0:00:01   
| epoch   7 | loss 0.000000000314 | -0.000000000453 bits | time 0:00:01   
| epoch   8 | loss 0.000000000314 | -0.000000000453 bits | time 0:00:01   
| epoch   9 | loss -0.000000002196 | 0.000000003168 bits | time 0:00:01   
| epoch  10 | loss -0.000000002823 | 0.000000004073 bits | time 0:00:01   
| epoch  11 | loss -0.000000001569 | 0.000000002263 bits | time 0:00:01   
| epoch  12 | loss -0.000000001569 | 0.000000002263 bits | time 0:00:01   
| epoch  13 | loss 0.000000001882 | -0.000000002716 bits | time 0:00:01   
| epoch  14 | loss -0.000000001882 | 0.000000002716 bits | time 0:00:01   
| epoch  15 | loss 0.000000001569 | -0.000000002263 bits | time 0:00:01   
| epoch  16 | loss -0.000000238732 | 0.000000344418 bits | time 0:00:01   
| epoch  17 | loss -0.045268662352 | 0.065308874683 bits | time 0:00:01   
| epoch  18 | loss -0.152951774942 | 0.220662767204 bits | time 0:00:01   
| epoch  19 | loss -0.171843260056 | 0.247917419093 bits | time 0:00:01   
