python main.py ./simulatedPlanets/oneGrammar_overlappingRp/example-sim-model_Rp ./simulatedPlanets/oneGrammar_overlappingRp/fake_grammaticalSystems_Rp.txt --num_planet_features 1 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 0 --dropout_prob 0.01 --train

Random seed: 0
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/oneGrammar_overlappingRp/fake_grammaticalSystems_Rp.txt
   # planets:     37393
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch   1 | loss -0.000000006694 | 0.000000009657 bits | time 0:00:01   
| epoch   2 | loss -0.000000008606 | 0.000000012416 bits | time 0:00:01   
| epoch   3 | loss -0.000000007650 | 0.000000011036 bits | time 0:00:01   
| epoch   4 | loss -0.000000007969 | 0.000000011496 bits | time 0:00:01   
| epoch   5 | loss -0.000000003825 | 0.000000005518 bits | time 0:00:01   
| epoch   6 | loss -0.000000015300 | 0.000000022073 bits | time 0:00:01   
| epoch   7 | loss -0.000075921974 | 0.000109532255 bits | time 0:00:01   
| epoch   8 | loss -0.021509174198 | 0.031031178949 bits | time 0:00:01   
| epoch   9 | loss -0.053913486833 | 0.077780720090 bits | time 0:00:01   
| epoch  10 | loss -0.076355182710 | 0.110157243442 bits | time 0:00:01   
| epoch  11 | loss -0.090851153362 | 0.131070508414 bits | time 0:00:01   
| epoch  12 | loss -0.100225589014 | 0.144594960241 bits | time 0:00:01   
| epoch  13 | loss -0.106292402441 | 0.153347521887 bits | time 0:00:01   
| epoch  14 | loss -0.111062425981 | 0.160229211191 bits | time 0:00:01   
| epoch  15 | loss -0.114344652643 | 0.164964463320 bits | time 0:00:01   
| epoch  16 | loss -0.116622984170 | 0.168251400916 bits | time 0:00:01   
| epoch  17 | loss -0.118771985412 | 0.171351754351 bits | time 0:00:01   
| epoch  18 | loss -0.119915322027 | 0.173001240415 bits | time 0:00:01   
| epoch  19 | loss -0.120235515549 | 0.173463182022 bits | time 0:00:01   
| epoch  20 | loss -0.122896151029 | 0.177301667635 bits | time 0:00:01   
| epoch  21 | loss -0.124808903126 | 0.180061185599 bits | time 0:00:01   
| epoch  22 | loss -0.125120149417 | 0.180510219080 bits | time 0:00:01   
| epoch  23 | loss -0.126197157059 | 0.182064012663 bits | time 0:00:01   
| epoch  24 | loss -0.128773607672 | 0.185781045186 bits | time 0:00:01   
| epoch  25 | loss -0.128141816287 | 0.184869562888 bits | time 0:00:01   
| epoch  26 | loss -0.130455347545 | 0.188207282961 bits | time 0:00:01   
| epoch  27 | loss -0.129994025763 | 0.187541736313 bits | time 0:00:01   
| epoch  28 | loss -0.129945158321 | 0.187471235497 bits | time 0:00:01   
| epoch  29 | loss -0.130018808864 | 0.187577490770 bits | time 0:00:01   
| epoch  30 | loss -0.130858013655 | 0.188788207361 bits | time 0:00:01   
| epoch  31 | loss -0.130240076366 | 0.187896712298 bits | time 0:00:01   
| epoch  32 | loss -0.131516950574 | 0.189738852385 bits | time 0:00:01   
| epoch  33 | loss -0.132779549230 | 0.191560397205 bits | time 0:00:01   
| epoch  34 | loss -0.133438459214 | 0.192511003372 bits | time 0:00:01   
| epoch  35 | loss -0.133082764751 | 0.191997844734 bits | time 0:00:01   
| epoch  36 | loss -0.136301062882 | 0.196640867487 bits | time 0:00:01   
| epoch  37 | loss -0.134429607002 | 0.193940927371 bits | time 0:00:01   
| epoch  38 | loss -0.136589659647 | 0.197057224609 bits | time 0:00:01   
| epoch  39 | loss -0.136216324361 | 0.196518615643 bits | time 0:00:01   
| epoch  40 | loss -0.138036529090 | 0.199144615980 bits | time 0:00:01   
| epoch  41 | loss -0.137693962710 | 0.198650397162 bits | time 0:00:01   
| epoch  42 | loss -0.138876651299 | 0.200356656125 bits | time 0:00:01   
| epoch  43 | loss -0.140988821732 | 0.203403873933 bits | time 0:00:01   
